time;stolen;load
1674222013;4969;0.03
1674222073;4970;0.01
1674222133;4971;0.04
1674222193;4973;0.01
1674222253;4974;0.08
1674222313;4976;0.03
1674222373;4977;0.09
1674222433;4979;0.03
1674222493;4980;0.01
1674222553;4981;0.03
1674222613;4982;0.01
1674222673;4984;0.04
1674222733;4984;0.01
1674222793;4985;0.00
1674222853;4986;0.00
1674222913;4988;0.00
1674222973;4990;0.00
1674223033;4991;0.00
1674223093;4991;0.06
1674223153;4992;0.02
1674223213;4994;0.07
1674223273;4994;0.02
1674223333;4996;0.07
1674223393;4997;0.06
1674223453;4998;0.02
1674223513;5001;0.05
1674223573;5002;0.02
1674223633;5003;0.00
1674223693;5005;0.00
1674223753;5007;0.00
1674223813;5007;0.00
1674223873;5009;0.00
1674223933;5010;0.08
1674223993;5013;0.03
1674224053;5015;0.01
1674224113;5017;0.00
1674224173;5018;0.03
1674224234;5021;0.14
1674224294;5022;0.05
1674224354;5024;0.02
1674224414;5026;0.08
1674224474;5028;0.03
1674224534;5029;0.09
1674224594;5032;0.03
1674224654;5032;0.09
1674224714;5034;0.03
1674224774;5036;0.01
1674224834;5041;0.03
1674224894;5044;0.01
1674224954;5045;0.04
1674225014;5047;0.01
1674225074;5050;0.04
1674225134;5053;0.01
1674225194;5055;0.04
1674225254;5057;0.01
1674225314;5057;0.00
1674225374;5059;0.00
1674225434;5060;0.04
1674225494;5061;0.01
1674225554;5063;0.00
1674225614;5064;0.00
1674225674;5065;0.07
1674225734;5068;0.06
1674225794;5072;0.09
1674225854;5075;0.06
1674225914;5076;0.02
1674225974;5078;0.04
1674226034;5080;0.01
1674226094;5082;0.04
1674226154;5083;0.01
1674226214;5086;0.05
1674226274;5088;0.02
1674226334;5090;0.05
1674226394;5094;0.02
1674226454;5098;0.12
1674226514;5102;0.04
1674226574;5106;0.09
1674226634;5108;0.03
1674226694;5109;0.01
1674226754;5110;0.03
1674226814;5113;0.01
1674226874;5115;0.04
1674226934;5116;0.01
1674226994;5118;0.04
1674227054;5119;0.14
1674227114;5120;0.05
1674227174;5121;0.02
1674227234;5122;0.04
1674227294;5126;0.01
1674227355;5129;0.04
1674227415;5130;0.01
1674227475;5131;0.00
1674227535;5133;0.00
1674227595;5134;0.04
1674227655;5135;0.09
1674227715;5137;0.03
1674227775;5138;0.01
1674227835;5140;0.03
1674227895;5142;0.01
1674227955;5144;0.04
1674228015;5145;0.01
1674228075;5145;0.04
1674228135;5149;0.07
1674228195;5151;0.06
1674228255;5152;0.02
1674228315;5154;0.09
1674228375;5156;0.12
1674228435;5158;0.04
1674228495;5159;0.07
1674228555;5160;0.02
1674228615;5161;0.21
1674228675;5162;0.08
1674228735;5164;0.09
1674228795;5165;0.03
1674228855;5166;0.01
1674228915;5168;0.13
1674228975;5169;0.04
1674229035;5170;0.07
1674229095;5171;0.02
1674229155;5173;0.07
1674229215;5174;0.09
1674229275;5175;0.10
1674229335;5177;0.03
1674229395;5178;0.08
1674229455;5179;0.06
1674229515;5180;0.06
1674229575;5181;0.06
1674229635;5182;0.02
1674229695;5184;0.05
1674229755;5185;0.02
1674229815;5186;0.05
1674229875;5187;0.02
1674229935;5188;0.00
1674229995;5190;0.00
1674230055;5191;0.00
1674230115;5192;0.00
1674230175;5193;0.00
1674230235;5195;0.00
1674230295;5196;0.00
1674230355;5197;0.00
1674230416;5198;0.00
1674230476;5199;0.00
1674230536;5200;0.03
1674230596;5200;0.01
1674230656;5202;0.04
1674230716;5203;0.01
1674230776;5205;0.04
1674230836;5206;0.08
1674230896;5207;0.03
1674230956;5207;0.01
1674231016;5208;0.00
1674231076;5209;0.00
1674231136;5210;0.00
1674231196;5212;0.00
1674231256;5213;0.00
1674231316;5214;0.00
1674231376;5215;0.04
1674231436;5216;0.01
1674231496;5217;0.00
1674231556;5219;0.00
1674231616;5220;0.00
1674231676;5222;0.00
1674231736;5224;0.00
1674231796;5226;0.00
1674231856;5226;0.00
1674231916;5229;0.04
1674231976;5232;0.01
1674232036;5234;0.07
1674232096;5236;0.02
1674232156;5237;0.07
1674232216;5239;0.07
1674232276;5240;0.10
1674232336;5242;0.09
1674232396;5246;0.11
1674232456;5249;0.10
1674232516;5252;0.03
1674232576;5262;0.14
1674232636;5263;0.08
1674232696;5265;0.03
1674232756;5267;0.01
1674232816;5268;0.00
1674232876;5269;0.00
1674232936;5270;0.00
1674232996;5271;0.00
1674233056;5271;0.00
1674233116;5274;0.00
1674233176;5275;0.00
1674233236;5279;0.00
1674233296;5284;0.00
1674233356;5285;0.03
1674233416;5286;0.01
1674233477;5287;0.04
1674233537;5288;0.01
1674233597;5291;0.00
1674233657;5293;0.00
1674233717;5294;0.00
1674233777;5296;0.00
1674233837;5297;0.00
1674233897;5299;0.04
1674233957;5300;0.01
1674234017;5304;0.04
1674234077;5307;0.01
1674234137;5311;0.05
1674234197;5314;0.02
1674234257;5315;0.05
1674234317;5320;0.02
1674234377;5321;0.00
1674234437;5323;0.07
1674234497;5325;0.02
1674234557;5327;0.06
1674234617;5329;0.02
1674234677;5331;0.07
1674234737;5333;0.02
1674234797;5337;0.07
1674234857;5340;0.03
1674234917;5344;0.01
1674234977;5349;0.00
1674235037;5351;0.08
1674235097;5352;0.03
1674235157;5354;0.01
1674235217;5356;0.08
1674235277;5358;0.03
1674235337;5361;0.01
1674235397;5364;0.03
1674235457;5367;0.01
1674235517;5369;0.04
1674235577;5373;0.01
1674235637;5376;0.04
1674235697;5379;0.06
1674235757;5381;0.08
1674235817;5384;0.03
1674235877;5386;0.07
1674235937;5389;0.02
1674235997;5391;0.08
1674236057;5392;0.03
1674236117;5394;0.01
1674236177;5396;0.00
1674236238;5398;0.08
1674236298;5400;0.03
1674236358;5404;0.04
1674236418;5407;0.01
1674236478;5411;0.04
1674236538;5413;0.01
1674236598;5414;0.04
1674236658;5415;0.01
1674236718;5418;0.04
1674236778;5419;0.01
1674236838;5421;0.05
1674236898;5424;0.02
1674236958;5425;0.07
1674237018;5426;0.07
1674237078;5427;0.02
1674237138;5430;0.06
1674237198;5433;0.02
1674237258;5435;0.06
1674237318;5441;0.02
1674237378;5443;0.07
1674237438;5446;0.02
1674237498;5448;0.07
1674237558;5448;0.07
1674237618;5449;0.06
1674237678;5451;0.02
1674237738;5452;0.05
1674237798;5455;0.02
1674237858;5456;0.05
1674237918;5457;0.02
1674237978;5458;0.06
1674238038;5459;0.02
1674238098;5462;0.06
1674238158;5463;0.02
1674238218;5464;0.01
1674238278;5466;0.00
1674238338;5466;0.00
1674238398;5469;0.00
1674238458;5469;0.00
1674238518;5471;0.00
1674238578;5473;0.00
1674238638;5476;0.06
1674238698;5477;0.07
1674238758;5479;0.10
1674238818;5481;0.03
1674238878;5483;0.06
1674238938;5486;0.02
1674238998;5490;0.06
1674239058;5493;0.02
1674239118;5495;0.07
1674239178;5496;0.02
1674239238;5499;0.07
1674239298;5501;0.03
1674239359;5502;0.08
1674239419;5505;0.06
1674239479;5506;0.02
1674239539;5513;0.01
1674239599;5517;0.00
1674239659;5521;0.04
1674239719;5523;0.01
1674239779;5525;0.05
1674239839;5527;0.02
1674239899;5530;0.12
1674239959;5534;0.04
1674240019;5536;0.07
1674240079;5538;0.08
1674240139;5540;0.03
1674240199;5541;0.08
1674240259;5543;0.03
1674240319;5545;0.08
1674240379;5547;0.03
1674240439;5548;0.09
1674240499;5550;0.03
1674240559;5553;0.01
1674240619;5556;0.10
1674240679;5557;0.07
1674240739;5559;0.02
1674240799;5562;0.05
1674240859;5564;0.02
1674240919;5567;0.05
1674240979;5568;0.02
1674241039;5571;0.05
1674241099;5574;0.02
1674241159;5575;0.06
1674241219;5576;0.02
1674241279;5577;0.00
1674241339;5579;0.00
1674241399;5580;0.00
